lab,number_of_women_with_test,number_of_pregnancies_with_test,total_2010,first_2010,first_preg,gw_n,preterm_percent,gw_5,gw_10,gw_25,gw_50,gw_75,gw_90,gw_95,c_section_n,c_section_percent
MICR_perc,140919,246753,160773,72723,0.452333414192682,125972,0.119598005906074,37,37,38,39,40,41,41,41177,0.166875377401693
HYPERperc,135493,235076,154604,69671,0.450641639284883,121615,0.11954939768943,37,37,38,39,40,41,41,38824,0.165155098776566
HYPO_perc,138887,239697,156986,71690,0.456664925534761,123227,0.117531060563026,37,37,38,39,40,41,41,39192,0.163506426863916
LYMP.abs,160918,297009,182283,82817,0.454332000241383,140612,0.121518789292521,37,37,38,39,40,41,41,48398,0.162951291038319
LYMperc,152406,269895,165676,75331,0.454688669451218,127660,0.115721447595175,37,37,38,39,40,41,41,43016,0.159380499824006
NEUT.abs,150291,264570,162057,73383,0.452822155167626,124723,0.115295494816513,37,37,38,39,40,41,41,41997,0.15873681823336
NEUTperc,151631,268224,164638,74733,0.453923152613613,126824,0.115246325616603,37,37,38,39,40,41,41,42578,0.158740455738487
MONO.abs,161951,302362,187043,83847,0.448276599498511,145230,0.12135233767128,37,37,38,39,40,41,41,49068,0.162282297378639
MONperc,162520,303867,188262,84338,0.447982067544167,146255,0.121712078219548,37,37,38,39,40,41,41,49404,0.162584288520965
EOS.abs,159797,293448,179932,82053,0.456022275081698,138718,0.120496258596577,37,37,38,39,40,41,41,47282,0.161125650881928
EOS_perc,153010,270724,166138,75845,0.456518075334963,127985,0.116521467359456,37,37,38,39,40,41,41,43201,0.15957580414001
BASOPHILES_abs,162802,305346,188813,84472,0.447384449163988,146688,0.12174820026178,37,37,38,39,40,41,41,49613,0.162481250777806
BASO_perc,160895,297000,183373,83042,0.452858381550174,141949,0.120726458094104,37,37,38,39,40,41,41,48019,0.161680134680135
HCT_HGB_RATIO,7780,8213,6556,5087,0.775930445393533,2843,0.0970805487161449,37,38,38,39,40,41,41,1450,0.176549372945331
RDW_SD,39802,64319,56497,20827,0.368639042781033,50467,0.119543464045812,37,37,38,39,40,41,41,9108,0.141606679208321
ALYperc,12106,14700,132,91,0.689393939393939,44,0.136363636363636,36,37,38,39,40,40.7,41,2652,0.180408163265306
CH,74630,131666,82114,32470,0.395425871349587,63472,0.117547895134863,37,37,38,39,40,41,41,20489,0.155613446144031
MICROperc_HYPOperc,58277,87132,71566,37679,0.526493027415253,57293,0.122475695111096,37,37,38,39,40,41,41,14576,0.167286416012487
PT_INR,71568,89290,58699,30751,0.523876045588511,47170,0.164256942972228,36,37,38,39,40,41,41,19040,0.2132377645873
PT_SEC,66437,83059,55571,28846,0.519083694732864,44837,0.164172446863082,36,37,38,39,40,41,41,17525,0.21099459420412
PT_perc,70018,87447,57541,29895,0.519542587024904,46266,0.164483638092768,36,37,38,39,40,41,41,18586,0.212540167186982
APTT_sec,68610,85160,56083,29454,0.525185885205856,45188,0.165707710011507,36,37,38,39,40,41,41,18337,0.215324095819634
APTT_R,25384,30490,16971,9580,0.564492369335926,12767,0.176705569045195,36,37,38,39,40,41,41,7047,0.231124959002952
FIBRINOGEN,40751,50389,35431,17207,0.485648161214755,29656,0.1752090639331,36,37,38,39,40,41,41,10743,0.2132012939332
CONTROL_PT,24255,31266,21661,9416,0.434698305710724,17954,0.170101370168208,36,37,38,39,40,41,41,6408,0.204951065054692
LY_perc,10455,11239,6053,3284,0.542540888815463,4503,0.142127470575172,36,37,38,39,40,41,41,2396,0.21318622653261
GLUCOSE_BLOOD,153654,251617,155991,77333,0.495752960106673,121140,0.123105497771174,37,37,38,39,40,41,41,43767,0.173942937082948
NEUperc,10654,11458,6174,3336,0.540330417881438,4592,0.143510452961672,36,37,38,39,40,41,41,2428,0.211904346308256
UREA_BLOOD,132599,201967,132495,65784,0.496501754783199,103981,0.12994681720699,37,37,38,39,40,41,41,38551,0.190877717646942
MONOCYTESperc,10621,11426,6157,3322,0.539548481403281,4581,0.143200174634359,36,37,38,39,40,41,41,2417,0.211535095396464
CREATININE_BLOOD,135981,210229,140483,69059,0.491582611419175,111290,0.129813999460868,37,37,38,39,40,41,41,39500,0.187890348144167
URIC_ACID_BLOOD,110129,154856,102144,51741,0.506549577067669,80692,0.134090120458038,37,37,38,39,40,41,41,30858,0.19926899829519
CALCIUM_BLOOD,101276,137609,89038,45349,0.50932186257553,70717,0.13732200178175,37,37,38,39,40,41,41,27691,0.201229570740286
PHOSPHORUS_BLOOD,85143,110677,68980,35483,0.514395476949841,54938,0.143598238013761,37,37,38,39,40,41,41,23272,0.210269523026464
PROTEIN_TOTAL_BLOOD,89875,118413,73884,37781,0.511355638568567,57953,0.139526857971115,37,37,38,39,40,41,41,24401,0.206066901438187
ALBUMIN,91447,121390,75396,38236,0.507135657064035,59116,0.1389471547466,37,37,38,39,40,41,41,25252,0.208023725183294
CHOLESTEROL,88564,115277,73214,37545,0.512811757314175,57242,0.128576919045456,37,37,38,39,40,41,41,21651,0.187817170814646
TRIGLYCERIDES,89690,118274,76300,38524,0.504901703800786,59028,0.130090804364031,37,37,38,39,40,41,41,21805,0.184360045318498
